Product,Volume,Normal Price,Sale Price
StatTrak™ Nova | Antique (Field-Tested),12,$11.09 USD,$10.61 USD
StatTrak™ P90 | Trigon (Well-Worn),6,$11.50 USD,$11.00 USD
StatTrak™ AUG | Chameleon (Field-Tested),34,$12.22 USD,$11.69 USD
StatTrak™ AUG | Chameleon (Well-Worn),20,$12.33 USD,$11.80 USD
StatTrak™ AUG | Chameleon (Battle-Scarred),8,$12.44 USD,$11.90 USD
StatTrak™ Nova | Antique (Minimal Wear),14,$12.78 USD,$12.23 USD
AK-47 | Redline (Field-Tested),1340,$13.68 USD,$13.09 USD
AK-47 | Redline (Well-Worn),104,$13.80 USD,$13.20 USD
StatTrak™ P90 | Trigon (Minimal Wear),36,$14.87 USD,$14.23 USD
StatTrak™ AUG | Chameleon (Minimal Wear),29,$18.94 USD,$18.12 USD
StatTrak™ SG 553 | Pulse (Minimal Wear),43,$19.98 USD,$19.12 USD
StatTrak™ Nova | Antique (Factory New),32,$20.12 USD,$19.25 USD
StatTrak™ AK-47 | Redline (Battle-Scarred),43,$20.93 USD,$20.02 USD
StatTrak™ AUG | Chameleon (Factory New),29,$32.05 USD,$30.66 USD
StatTrak™ AK-47 | Redline (Well-Worn),15,$33.94 USD,$32.47 USD
StatTrak™ AK-47 | Redline (Field-Tested),235,$38.00 USD,$36.35 USD
AWP | Asiimov (Battle-Scarred),227,$42.93 USD,$41.07 USD
AK-47 | Redline (Minimal Wear),133,$48.26 USD,$46.17 USD
AWP | Asiimov (Well-Worn),83,$54.19 USD,$51.84 USD
AWP | Asiimov (Field-Tested),183,$70.06 USD,$67.02 USD
StatTrak™ AWP | Asiimov (Battle-Scarred),47,$94.41 USD,$90.31 USD
StatTrak™ AWP | Asiimov (Well-Worn),7,$120.71 USD,$115.47 USD
StatTrak™ AWP | Asiimov (Field-Tested),28,$172.76 USD,$165.25 USD
StatTrak™ AK-47 | Redline (Minimal Wear),14,$173.03 USD,$165.51 USD
