HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['0309s', 43.03, 2570, 3403, 0]
['0607', 43.02, 7772, 10295, 0]
['0209s', 42.92, 2569, 3417, 0]
['0509', 42.28, 7646, 10440, 0]
['0310', 42.19, 7567, 10367, 0]
['0308s', 42.15, 2584, 3547, 0]
['0508', 41.94, 7618, 10547, 0]
['0405s', 41.7, 2534, 3543, 0]
['0210', 41.6, 7479, 10501, 0]
['0407s', 41.42, 2509, 3548, 0]
['0507', 41.2, 7429, 10601, 0]
['0406s', 41.1, 2511, 3598, 0]
['0409', 40.96, 7322, 10552, 0]
['0506', 40.86, 7475, 10820, 0]
['0306s', 40.31, 2439, 3611, 0]
['0309', 40.12, 7213, 10767, 0]
['0208s', 39.65, 2395, 3645, 0]
['0304s', 39.64, 2384, 3630, 0]
['0408', 39.53, 7259, 11103, 0]
['0307s', 39.39, 2392, 3681, 0]
['0305s', 39.36, 2349, 3619, 0]
['0209', 39.09, 7084, 11040, 0]
['0206s', 38.85, 2389, 3761, 0]
['0405', 38.52, 7006, 11182, 0]
['0204s', 37.84, 2310, 3794, 0]
['0308', 37.72, 6808, 11243, 0]
['0407', 37.71, 6815, 11258, 0]
['0406', 37.46, 6796, 11348, 0]
['0207s', 37.33, 2264, 3801, 0]
['0208', 37.25, 6724, 11329, 0]
['0205s', 37.19, 2267, 3829, 0]
['0305', 36.25, 6560, 11535, 0]
['0307', 36.24, 6562, 11546, 0]
['0306', 35.95, 6547, 11666, 0]
['0203s', 35.7, 2215, 3990, 0]
['0304', 34.91, 6253, 11660, 0]
['0207', 34.77, 6327, 11870, 0]
['0206', 34.7, 6297, 11850, 0]
['0205', 34.5, 6208, 11788, 0]
['0204', 33.04, 5947, 12050, 0]
['0203', 32.29, 5872, 12315, 0]
