HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['0506s', 43.2, 2579, 3391, 0]
['0310', 42.9, 7826, 10416, 0]
['0509', 42.71, 7664, 10280, 0]
['0407s', 42.62, 2556, 3441, 0]
['0607', 42.38, 7640, 10389, 0]
['0405s', 42.15, 2479, 3402, 0]
['0209s', 41.99, 2570, 3551, 0]
['0508', 41.9, 7524, 10431, 0]
['0406s', 41.47, 2521, 3558, 0]
['0210', 41.29, 7575, 10770, 0]
['0208s', 41.15, 2531, 3620, 0]
['0409', 40.95, 7382, 10645, 0]
['0307s', 40.46, 2426, 3570, 0]
['0308s', 40.34, 2429, 3593, 0]
['0507', 40.18, 7248, 10792, 0]
['0506', 39.94, 7148, 10748, 0]
['0209', 39.87, 7274, 10969, 0]
['0309', 39.68, 7224, 10982, 0]
['0305s', 39.34, 2348, 3621, 0]
['0205s', 39.06, 2334, 3641, 0]
['0304s', 38.99, 2315, 3622, 0]
['0207s', 38.89, 2282, 3586, 0]
['0408', 38.86, 7101, 11172, 0]
['0306s', 38.69, 2295, 3637, 0]
['0407', 38.34, 6949, 11174, 0]
['0405', 38.33, 6973, 11217, 0]
['0406', 38.2, 6879, 11127, 0]
['0204s', 37.55, 2206, 3669, 0]
['0208', 37.48, 6792, 11332, 0]
['0308', 37.43, 6812, 11385, 0]
['0306', 36.52, 6680, 11612, 0]
['0307', 36.46, 6645, 11578, 0]
['0206s', 36.34, 2174, 3809, 0]
['0203s', 36.14, 2225, 3932, 0]
['0305', 36.01, 6475, 11505, 0]
['0207', 35.06, 6270, 11615, 0]
['0304', 34.84, 6302, 11786, 0]
['0205', 34.44, 6123, 11657, 0]
['0204', 33.73, 6132, 12045, 0]
['0206', 33.65, 6027, 11885, 0]
['0203', 32.67, 6001, 12368, 0]
