['win', [[13, 'D'], [6, 'D']], '2 Pairs']
['win', [[5, 'S'], [5, 'D']], 'Full House']
['win', [[9, 'H'], [11, 'D']], 'Straight']
['win', [[13, 'C'], [4, 'H']], 'Flush']
['draw', [[[13, 'D'], [2, 'H']], [[11, 'D'], [13, 'C']]], 'Flush']
['win', [[5, 'H'], [6, 'C']], 'Straight']
['win', [[9, 'S'], [10, 'D']], '2 Pairs']
['win', [[11, 'C'], [14, 'D']], 'Flush']
['win', [[4, 'C'], [4, 'S']], 'Full House']
['win', [[9, 'C'], [7, 'D']], '2 Pairs']
['win', [[4, 'D'], [7, 'S']], '3 of a Kind']
['win', [[3, 'S'], [11, 'S']], '3 of a Kind']
['win', [[10, 'D'], [3, 'S']], 'Straight']
['win', [[10, 'H'], [5, 'H']], 'Flush']
['win', [[12, 'S'], [14, 'H']], '2 Pairs']
['win', [[12, 'C'], [13, 'H']], 'Pair']
['win', [[7, 'D'], [2, 'D']], 'Flush']
['win', [[3, 'D'], [11, 'D']], 'Flush']
['win', [[6, 'H'], [2, 'D']], 'Pair']
['win', [[10, 'C'], [10, 'H']], 'Full House']
['win', [[11, 'S'], [9, 'C']], '3 of a Kind']
['win', [[10, 'D'], [2, 'C']], '3 of a Kind']
['win', [[8, 'C'], [8, 'S']], 'Full House']
['win', [[3, 'C'], [10, 'D']], 'Straight']
['win', [[2, 'H'], [7, 'S']], '3 of a Kind']
['win', [[3, 'D'], [10, 'D']], 'Flush']
['win', [[11, 'C'], [8, 'H']], 'Straight']
['win', [[9, 'H'], [8, 'S']], 'Pair']
['win', [[8, 'H'], [5, 'H']], 'Flush']
['win', [[13, 'D'], [3, 'H']], 'Full House']
['win', [[14, 'H'], [3, 'S']], '2 Pairs']
['win', [[9, 'D'], [5, 'H']], 'Pair']
['win', [[12, 'H'], [10, 'D']], 'Straight']
['win', [[14, 'C'], [6, 'D']], '3 of a Kind']
['win', [[6, 'S'], [6, 'H']], '3 of a Kind']
['win', [[2, 'H'], [12, 'H']], '2 Pairs']
['win', [[5, 'H'], [11, 'H']], 'Flush']
['win', [[7, 'D'], [13, 'D']], '2 Pairs']
['win', [[6, 'S'], [13, 'H']], '2 Pairs']
['win', [[13, 'S'], [12, 'H']], '2 Pairs']
['win', [[4, 'S'], [3, 'D']], 'Pair']
['win', [[14, 'C'], [9, 'D']], 'Full House']
['win', [[13, 'C'], [4, 'H']], 'Full House']
['win', [[12, 'S'], [12, 'D']], 'Full House']
['win', [[12, 'S'], [14, 'C']], 'Pair']
['win', [[4, 'H'], [6, 'D']], 'Full House']
['win', [[10, 'C'], [2, 'D']], 'Straight']
['win', [[11, 'H'], [5, 'C']], 'Full House']
['win', [[14, 'D'], [3, 'S']], '2 Pairs']
['win', [[7, 'C'], [6, 'H']], '2 Pairs']
['win', [[10, 'H'], [11, 'C']], 'Straight']
['win', [[4, 'H'], [5, 'H']], '3 of a Kind']
['win', [[11, 'D'], [13, 'C']], '2 Pairs']
['win', [[14, 'C'], [14, 'D']], '2 Pairs']
['win', [[10, 'D'], [5, 'D']], 'Flush']
['win', [[2, 'H'], [14, 'C']], '2 Pairs']
['win', [[12, 'C'], [2, 'C']], 'Flush']
['win', [[5, 'S'], [13, 'H']], '2 Pairs']
['win', [[7, 'S'], [7, 'H']], 'Full House']
['win', [[7, 'D'], [14, 'H']], 'Straight']
['win', [[11, 'C'], [10, 'H']], 'Straight']
