['win', [[7, 'S'], [13, 'H']], 'Pair']
['win', [[9, 'C'], [11, 'S']], 'Pair']
['win', [[8, 'D'], [14, 'D']], 'Pair']
['win', [[13, 'H'], [13, 'D']], 'Pair']
['win', [[9, 'H'], [11, 'H']], 'Flush']
['win', [[13, 'C'], [4, 'S']], 'Pair']
['win', [[3, 'S'], [2, 'S']], 'Flush']
['win', [[7, 'H'], [8, 'H']], 'Pair']
['win', [[7, 'H'], [9, 'D']], 'Pair']
['win', [[6, 'S'], [11, 'D']], 'Straight']
['win', [[3, 'C'], [14, 'S']], '2 Pairs']
['win', [[4, 'S'], [9, 'H']], 'Straight']
['win', [[7, 'D'], [5, 'D']], '3 of a Kind']
['win', [[12, 'C'], [4, 'S']], '2 Pairs']
['win', [[13, 'C'], [6, 'C']], 'High Card']
['win', [[13, 'S'], [2, 'S']], '2 Pairs']
['win', [[13, 'D'], [5, 'S']], 'Pair']
['win', [[13, 'C'], [8, 'D']], 'Pair']
['win', [[13, 'D'], [4, 'D']], 'Pair']
['win', [[7, 'D'], [2, 'S']], 'Full House']
['win', [[8, 'D'], [2, 'S']], '2 Pairs']
['win', [[12, 'C'], [11, 'S']], 'Straight']
['win', [[6, 'C'], [3, 'H']], 'Pair']
['draw', [[[12, 'C'], [4, 'C']], [[4, 'S'], [10, 'C']]], 'Pair']
['win', [[11, 'H'], [10, 'S']], '2 Pairs']
['win', [[14, 'S'], [8, 'H']], '2 Pairs']
['win', [[7, 'S'], [2, 'C']], '2 Pairs']
['win', [[3, 'S'], [11, 'S']], '2 Pairs']
['win', [[6, 'C'], [13, 'D']], 'High Card']
['win', [[12, 'H'], [14, 'D']], 'Full House']
['win', [[9, 'H'], [3, 'H']], '2 Pairs']
['win', [[4, 'C'], [12, 'S']], 'Pair']
['win', [[3, 'H'], [2, 'S']], 'Pair']
['win', [[9, 'S'], [4, 'S']], 'Flush']
['win', [[6, 'S'], [13, 'H']], 'Pair']
['win', [[11, 'C'], [8, 'D']], '2 Pairs']
['win', [[10, 'S'], [12, 'C']], 'Pair']
['win', [[10, 'H'], [8, 'S']], 'Straight']
['win', [[12, 'S'], [3, 'D']], 'Full House']
['win', [[7, 'S'], [13, 'S']], '2 Pairs']
['win', [[14, 'D'], [6, 'S']], 'Pair']
['win', [[8, 'D'], [10, 'S']], '2 Pairs']
['win', [[9, 'H'], [14, 'H']], 'Pair']
['win', [[7, 'C'], [7, 'S']], '2 Pairs']
['win', [[6, 'D'], [10, 'C']], 'Full House']
['win', [[4, 'H'], [7, 'D']], 'Pair']
['win', [[12, 'S'], [7, 'C']], '2 Pairs']
['win', [[2, 'C'], [10, 'H']], 'Pair']
['win', [[2, 'D'], [2, 'H']], '3 of a Kind']
['win', [[8, 'C'], [5, 'C']], '2 Pairs']
['win', [[7, 'H'], [12, 'H']], 'Pair']
['win', [[14, 'C'], [14, 'D']], '3 of a Kind']
['win', [[10, 'S'], [12, 'D']], 'Pair']
['win', [[5, 'S'], [3, 'H']], '2 Pairs']
['win', [[13, 'C'], [7, 'C']], 'Pair']
['win', [[4, 'D'], [4, 'H']], '3 of a Kind']
['win', [[10, 'D'], [7, 'C']], 'Pair']
['win', [[2, 'C'], [8, 'C']], 'Flush']
['win', [[4, 'H'], [4, 'D']], '3 of a Kind']
['win', [[5, 'S'], [2, 'C']], '2 Pairs']
['win', [[12, 'S'], [10, 'H']], 'Pair']
['win', [[5, 'D'], [12, 'H']], '3 of a Kind']
['win', [[7, 'S'], [7, 'H']], 'Full House']
['win', [[12, 'H'], [5, 'C']], 'Straight']
['win', [[6, 'S'], [4, 'D']], '2 Pairs']
['win', [[10, 'H'], [6, 'C']], 'Pair']
['win', [[3, 'C'], [4, 'S']], 'Straight']
['win', [[13, 'C'], [5, 'S']], '2 Pairs']
['win', [[8, 'C'], [4, 'C']], 'Flush']
['win', [[14, 'D'], [14, 'H']], 'Flush']
['win', [[9, 'H'], [2, 'D']], '2 Pairs']
['win', [[9, 'S'], [6, 'D']], '3 of a Kind']
['win', [[13, 'H'], [12, 'C']], 'Pair']
['win', [[13, 'H'], [3, 'C']], 'Full House']
['win', [[14, 'C'], [7, 'S']], 'Flush']
['win', [[13, 'H'], [5, 'S']], 'Straight']
['win', [[3, 'C'], [2, 'D']], '3 of a Kind']
['win', [[13, 'C'], [7, 'C']], 'Pair']
['win', [[14, 'S'], [9, 'H']], '2 Pairs']
['win', [[5, 'S'], [4, 'H']], 'Pair']
